"discount.greated.than.discount.limit";"Discount is greater than discount limit!"
"name.is.required";"Name is required!"
"gift.amt";"Gift Amt"
"popup.discount.limit";"Discount Limit:"
"invalid.username.password";"Invalid username or password!"
"close.till";"Close Till"
"organisation";"Organisation"
"descriptions";"Descriptions"
"Comments Error";"Comments Error"
"Name";"Name"
"Sub Total";"Sub Total"
"popup.password";"Password:"
"search.product.not.found";"Product Not Found"
"popup.unit.of.measure";"Unit of Measure:"
"the.cash.amount.entered.does.not.match.the.expected.amount";"The cash amount entered does not match the expected amount."
"continue";"Continue"
"open.drawer";"Open Drawer"
"Qty";"Qty"
"log.in";"Log In"
"voided";"Voided"
"open.till";"Open Till"
"import.csv";"Import CSV"
"clock.in.out";"Clock In Out"
"invalid.cash.amt";"Invalid cash amt"
"receipt.printing.options";"Receipt Printing options"
"swipe.card";"Swipe Card"
"qty";"Qty"
"Cart is not ready!";"Cart is not ready!"
"name";"Name"
"receipt";"Receipt"
"price.includes.tax";"Price Includes Tax"
"popup.balance";"Balance:"
"support";"Support"
"do.you.want.to.sync.this.order";"Do you want to synchronize this order?"
"email.mandatory";"Email *"
"enter.credit.card.number";"Enter Credit Card Number"
"price.excludes.tax";"Price Excludes Tax"
"invalid.amount";"Invalid Amount!"
"description";"Description"
"open.by";"Open By"
"please.enter.your.support.request";"Please enter your support request in the message box. Our support specialist will try to resolve your issue quickly"
"ext.card";"Ext. Card"
"the.expected.amount.is.calculated.based.on.all.the.cash.transactions";"The expected amount is calculated based on all the cash transactions that occurred during the shift, and takes into account the initial float."
"now";"Now"
"popup.order.date";"Order Date:"
"popup.rrp";"RRP:"
"popup.description";"Description:"
"popup.warehouse";"Warehouse:"
"checkout";"Checkout"
"loyalty.remaining";"Loyalty Remaining"
"popup.search.key";"Search Key:"
"summary";"Summary"
"popup.voucher.no";"Voucher No."
"line.item.discount";"Line Item Discount"
"reset.previous.discount.on.total";"You have already given discount on total! Please clear previous discount on total. Click reset to clear previous discounts."
"apply";"Apply"
"yes";"Yes"
"change.order.date";"Change Order Date"
"Write Off";"Write Off"
"name-compulsory";"Name*"
"discount.limit.not.set";"Discount Limit has not been set!"
"popup.override.limit.price";"Override Limit Price:"
"gift.card.transactions";"Gift Card Transactions"
"line.item";"Line Item"
"paid";"Paid"
"Do You Want to Refund This Order?";"Do You Want to Refund This Order?"
"open.till.description";"Please enter a value for your cash float. The cash float is the amount of money initially provided in the cash register so that you can make change for cash payments."
"error.negative.discount";"'Discount Amount cannot be negative!'"
"comment";"Comment"
"FAX";"FAX"
"add.discount";"Add Discount"
"synchronize.pos";"Synchronize POS"
"SKWallet";"SKWallet"
"price";"Price"
"payment";"Payment"
"cash";"Cash"
"popup.role";"Role:"
"enter.check.number";"Enter Check Number"
"item";"Item"
"BootstrapDialog.Information";"Information"
"card.number.required";"Card number required!"
"Card";"Card"
"order.no.longer.editable";"Order is no longer editable in offline mode. Order has already been synchronized."
"you.have.successfully.closed.your.till";"You have successfully closed your till"
"new.sales.receipt";"New Sales Receipt"
