Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
F007981,F007981,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1199,340.3487368,2. Barcode Printed
F007983,F007983,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,599,151.2661052,Check
F007984,F007984,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,599,151.2661052,Check
F007985,F007985,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,599,151.2661052,Check
F008288,F008288,23Q5,LA PARAH,SCARVES,FASHION ACCESSORIES,SCARVES & SHAWLS,24Q1,LADY,549,130.9033603,2. Barcode Printed
F008289,F008289,23Q5,LA PARAH,SCARVES,FASHION ACCESSORIES,SCARVES & SHAWLS,24Q1,LADY,599,145.4481781,2. Barcode Printed
F008290,F008290,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,999,321.4404737,Check
F008291,F008291,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,749,236.3532895,Check
UP007,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,799,181.0829818,2. Barcode Printed
UP008,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,799,171.6288502,2. Barcode Printed
UP009,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,799,181.0829818,2. Barcode Printed
UP011,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,799,181.0829818,2. Barcode Printed
U2060,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,799,167.2654048,2. Barcode Printed
U2059,6.97282E+12,23Q5,LA PARAH,MECHANICAL PENCILS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,499,127.2671559,2. Barcode Printed
UP004-C,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
U2069,6.97282E+12,23Q5,LA PARAH,PENCIL CASES,STATIONERY,SCHOOL SUPPLIES,24Q1,KIDS,599,127.2671559,2. Barcode Printed
U2054,6.97282E+12,23Q5,LA PARAH,BACKPACKS,BAGS & WALLETS,BACKPACKS,24Q1,KIDS,1099,330.8946052,2. Barcode Printed
F008343,F008343,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,799,255.2615526,2. Barcode Printed
F008345,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,1299,326.1675394,2. Barcode Printed
F008346,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,1199,297.8051447,2. Barcode Printed
U2033,6.97282E+12,23Q5,LA PARAH,BACKPACKS,BAGS & WALLETS,BACKPACKS,24Q1,KIDS,1299,467.9795131,2. Barcode Printed
U2065,6.97282E+12,23Q5,LA PARAH,BACKPACKS,BAGS & WALLETS,BACKPACKS,24Q1,KIDS,1799,614.5185526,2. Barcode Printed
U2082,6.97282E+12,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,449,127.2671559,2. Barcode Printed
F008353,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,599,245.807421,2. Barcode Printed
U2072,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,1299,363.9840658,2. Barcode Printed
U2071,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,899,274.1698158,2. Barcode Printed
U2029,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,1099,274.1698158,2. Barcode Printed
U2030,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,799,264.7156842,2. Barcode Printed
F008358,F008358,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,399,79.99649797,2. Barcode Printed
UP004-J,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
UP004-G,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
